dataset,split,instance,assets,K,k_ratio,method,run,HV,IGD,PF_Overlap,Runtime,PF_Size,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation,Diversity,Spacing,Archive_Size,Archive_Diversity,Archive_Spacing,run_dir
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,30,1.0820466772426005,0.005104245269238193,0.9166666666666666,0.7357304,100,1.0,1.0,1.687538997430238e-16,1.1102230246251563e-15,1.687538997430238e-16,1.1102230246251563e-15,1.2370593299725632,0.005199156494184791,98,1.2370593299725632,0.0051991564941847,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_030
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,1,1.0640393481797927,0.020061304012455837,0.325,2.5938877,99,1.0,1.0,1.3008673823890723e-16,1.1102230246251563e-15,1.2878587085651815e-16,1.1102230246251563e-15,1.2568396052351474,0.012906059569840195,83,1.2568396052351474,0.0129060595698401,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_001
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,18,1.0827095751977796,0.00549175962663188,0.875,0.6834713,100,1.0,1.0,2.020605904817785e-16,1.1102230246251563e-15,2.020605904817785e-16,1.1102230246251563e-15,1.1778667267637577,0.00580042675233911,95,1.1778667267637577,0.0058004267523391,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_018
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,8,1.07435725209946,0.0072459690585138774,0.875,0.7435691,100,1.0,1.0,2.7866597918091427e-16,1.1102230246251563e-15,2.7866597918091427e-16,1.1102230246251563e-15,1.1245808185678805,0.005171398410351442,95,1.1245808185678805,0.0051713984103514,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_008
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,25,1.0825543043819594,0.0045073283508993275,0.925,0.7030308,100,1.0,1.0,2.109423746787797e-16,1.1102230246251563e-15,2.109423746787797e-16,1.1102230246251563e-15,1.227077619246466,0.005870142365118666,96,1.227077619246466,0.0058701423651186,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_025
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,14,1.0823026020351716,0.005035888709347747,0.9083333333333333,0.736196,100,1.0,1.0,2.042810365310288e-16,1.1102230246251563e-15,2.042810365310288e-16,1.1102230246251563e-15,1.2354117658380008,0.005486715091117797,95,1.2354117658380008,0.0054867150911177,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_014
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,10,1.0822029017134622,0.004876736370038925,0.8833333333333333,0.7459337,100,1.0,1.0,3.0975222387041873e-16,1.1102230246251563e-15,3.0975222387041873e-16,1.1102230246251563e-15,1.2256061450291837,0.005121809036021965,98,1.2256061450291835,0.0051218090360219,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_010
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,7,1.0809483688640797,0.0060588303107536184,0.8583333333333333,0.7474428,100,1.0,1.0,2.0317081350640363e-16,1.1102230246251563e-15,2.0317081350640363e-16,1.1102230246251563e-15,1.2257743639168834,0.00548915452046766,97,1.2257743639168834,0.0054891545204676,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_007
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,7,1.0803129885433254,0.006037952129115673,0.7916666666666666,8.2364207,100,1.0,1.0,2.753353101070388e-16,1.1102230246251563e-15,2.753353101070388e-16,1.1102230246251563e-15,1.2274913603017676,0.007536383688619364,100,1.2274913603017676,0.0075363836886193,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\SPEA2\run_007
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,MOEAD,4,0.8972718972071171,0.18582841051684357,0.21666666666666667,13.8590411,89,1.0,1.0,2.644576193489137e-16,1.1102230246251563e-15,2.797762022055394e-16,1.1102230246251563e-15,0.32402211947160925,0.00129310167560458,73,0.3240221194716092,0.0012931016756045,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\MOEAD\run_004
