method,universe,window_id,run,assets,K,train_days,test_days,gross_return,net_return,annual_return,annual_net_return,annual_volatility,sharpe,sortino,max_drawdown,turnover,transaction_cost,runtime_sec,daily_return_days,cvar95_loss,mdd_from_daily_returns,rebalance_turnover,cost_scenario,cost_rate,scenario_transaction_cost,scenario_net_return,scenario_annual_net_return
MOEAD,NASDAQ100,window_002,7,59,10,755,126,0.245819065246292,0.244819065246292,0.552065143331145,0.549574505200652,0.269068989422429,1.76882950009739,2.69761728777844,-0.177532088386711,1,0.001,10.8077179,126,0.03549415033533137,-0.1775320883867103,0.3247057606069833,50bps,0.005,0.0016235288030349165,0.24419553644325706,0.5480225329053243
MOEAD,NASDAQ100,window_003,7,60,10,756,124,-0.479470010068355,-0.480470010068355,-0.734695509329147,-0.735730286582188,0.587597511147398,-1.95933615078896,-3.46066467484997,-0.486667115714954,1,0.001,11.0933983,124,0.07458960482511919,-0.48666711571495347,0.31698851521102017,50bps,0.005,0.001584942576055101,-0.4810549526444101,-0.7363346197296237
MOEAD,NASDAQ100,window_004,7,60,10,756,125,-0.0956837665095706,-0.0966837665095706,-0.183527090986372,-0.185346238628184,0.376838450773509,-0.351628909110376,-0.587713711848205,-0.296520913358799,1,0.001,5.5097374,125,0.04631692021985277,-0.2965209133587987,0.8330503841023282,50bps,0.005,0.004165251920511641,-0.09984901843008223,-0.19109081913982573
MOEAD,NASDAQ100,window_005,7,60,10,755,123,0.251606226653473,0.250606226653473,0.583762125106724,0.58117071783376,0.253707271495651,1.9399780159444,2.9316811185683,-0.152435698689001,1,0.001,6.1155201,123,0.03300823622947358,-0.1524356986890012,0.43009570428248645,50bps,0.005,0.0021504785214124323,0.24945574813206056,0.5781920466284869
MOEAD,NASDAQ100,window_006,7,60,10,753,125,0.221165994915658,0.220165994915658,0.496021378503844,0.493552652317337,0.193120591102138,2.18268505275026,3.80218472728874,-0.073607512675038,1,0.001,3.5742858,125,0.02190545524102313,-0.07360751267503796,0.7700013901568669,50bps,0.005,0.0038500069507843345,0.21731598796487367,0.4865280385613584
MOEAD,NASDAQ100,window_007,7,60,10,752,124,0.322908682904322,0.321908682904322,0.765956705760512,0.763244893808972,0.172257308950991,3.39049459603178,5.87340558764178,-0.0640070912144197,1,0.001,3.8516597,124,0.019167856686294532,-0.06400709121441961,0.22480486980537867,50bps,0.005,0.0011240243490268935,0.3217846585552951,0.7629087106447656
MOEAD,NASDAQ100,window_008,7,60,10,752,126,0.136838637283897,0.135838637283897,0.292402087221508,0.29012940994694,0.284453170993158,1.04307193127609,1.52294367799774,-0.134244727679777,1,0.001,4.3329772,126,0.03998360614116731,-0.13424472767977658,0.23757039416197184,50bps,0.005,0.0011878519708098593,0.13565078531308714,0.28970270618223126
MOEAD,NASDAQ100,window_009,7,59,10,752,122,0.223311626094415,0.222311626094415,0.516401985183549,0.513842640578018,0.36204797497566,1.3292585117559,1.73032819127565,-0.236713940927181,1,0.001,3.7908213,122,0.05176810385002174,-0.2367139409271799,0.530512488219134,50bps,0.005,0.00265256244109567,0.22065906365331933,0.5096180517900804
MOEAD,NASDAQ100,window_010,7,60,10,750,126,-0.0737353940513747,-0.0747353940513747,-0.142033879766838,-0.143885408978735,0.192761126317188,-0.698352362016696,-0.923351776004567,-0.144530188619913,1,0.001,3.6457609,126,0.029597542641174916,-0.14453018861991318,0.44808607152239954,50bps,0.005,0.0022404303576119976,-0.0759758244089867,-0.14617932292334834
MOEAD,NASDAQ100,window_011,7,60,10,751,123,0.132052676880627,0.131052676880627,0.289320573712026,0.286988251822941,0.307918474460251,0.978499948652674,1.55899759545604,-0.144674071708922,1,0.001,4.0964368,123,0.04210022669071961,-0.14467407170892221,0.6222017831564324,50bps,0.005,0.003111008915782162,0.12894166796484482,0.2820717976405469
