universe,window_id,method,assets,K,train_days,test_days,runs,annual_net_return_mean,annual_net_return_std,sharpe_mean,sortino_mean,max_drawdown_mean,cvar95_loss_mean,rebalance_turnover_mean,gross_return_mean,runtime_sec_mean
NASDAQ100,window_010,GDE3,60,10,750,126,10,-0.1369882595002061,0.04608678690862325,-0.6240957107205858,-0.8250317013747821,-0.1487756365540664,0.030608284969493138,0.4685907960847535,-0.07031507411419248,1.43686587
NASDAQ100,window_011,GDE3,60,10,751,123,10,0.2936824266734986,0.07527394544245634,0.9954793158953461,1.569637638552247,-0.14585520551719872,0.04117081649427286,0.6494524723577012,0.13448996708132838,1.46821009
NASDAQ100,window_001,MOEAD,60,10,755,124,10,0.567342362657673,0.0495618024958165,1.357288618545603,2.1303863695799947,-0.2636986616803808,0.047943428589752445,1.0,0.2483374950730143,11.553913210000001
NASDAQ100,window_002,MOEAD,59,10,755,126,10,0.49935236594815036,0.05390567213174438,1.682098280436081,2.596106047784303,-0.1767871831964768,0.03457560414265582,0.36598801119167146,0.2253005297288349,11.19998658
NASDAQ100,window_003,MOEAD,60,10,756,124,10,-0.7178919134927739,0.013498381759345606,-2.031989533603493,-3.5764169034756748,-0.47447731555996453,0.07037253693986514,0.428502611059121,-0.4626394320908055,11.32332888
NASDAQ100,window_004,MOEAD,60,10,756,125,10,-0.24599641912602,0.06265780389785039,-0.5550439009384283,-0.9499447479269054,-0.3148044275132202,0.04628815557289791,0.7843590710505339,-0.13037983241706488,7.335610320000001
NASDAQ100,window_005,MOEAD,60,10,755,123,10,0.7436081259605216,0.0932802296888764,2.188979724991562,3.3430173574064015,-0.1674682991063327,0.03493050977326077,0.3935504309590434,0.3123198987540433,6.45445843
NASDAQ100,window_006,MOEAD,60,10,753,125,10,0.4671308974815841,0.03698071690886172,2.0131835260522317,3.439911649804204,-0.08385219667871638,0.02289950710075126,0.7897739093512551,0.21032359254687552,4.30440445
NASDAQ100,window_007,MOEAD,60,10,752,124,10,0.7987671050235866,0.05628379353804787,3.5048190698095247,6.232055345722712,-0.06626168283215955,0.01878656610068967,0.31630238506723973,0.335801279701788,3.88661643
NASDAQ100,window_008,MOEAD,60,10,752,126,10,0.29229761355001516,0.042006690078954224,1.048849581194537,1.525198382345185,-0.1346943017471858,0.03989103606545218,0.2640029501160198,0.1376578770967498,3.78286809
NASDAQ100,window_009,MOEAD,59,10,752,122,10,0.5350739342770171,0.03872511708663307,1.3404582405415941,1.783796760803233,-0.23871444020434113,0.051839844274571376,0.4674197294013793,0.23149323511394018,3.6790610100000003
NASDAQ100,window_010,MOEAD,60,10,750,126,10,-0.13756405258837928,0.02535118324166482,-0.6331658893658025,-0.8336367445477435,-0.1468808454822289,0.030482295653374784,0.4295538737919635,-0.07041565565499981,3.8134394899999995
NASDAQ100,window_011,MOEAD,60,10,751,123,10,0.32968443991627766,0.06977820680446381,1.0868911627100033,1.748334873746304,-0.1438482318367502,0.04116750755165805,0.6550454334286733,0.1498724900254139,4.01141626
NASDAQ100,window_001,NSGAII,60,10,755,124,10,0.5733703306373551,0.02184672934088446,1.33822356537526,2.112995425357938,-0.2727132783345484,0.0489518860932683,1.0,0.2508099281707961,1.22097513
NASDAQ100,window_002,NSGAII,59,10,755,126,10,0.5052632317894622,0.059648138624135046,1.6682053253318632,2.62406872415108,-0.1761080815268061,0.03411516679045751,0.34065949406537765,0.22767437449363248,1.2567192600000001
NASDAQ100,window_003,NSGAII,60,10,756,124,10,-0.7203787833798663,0.0228765037203261,-2.008926784000816,-3.558942535870414,-0.47663438793380913,0.0707500599254992,0.4597806211891261,-0.46523099349805974,1.24652122
NASDAQ100,window_004,NSGAII,60,10,756,125,10,-0.23496327622380217,0.03315735460919097,-0.49866354293000353,-0.8493564190435426,-0.3157486710730717,0.04718704636216197,0.8031432680070003,-0.1235896865610953,1.26180959
NASDAQ100,window_005,NSGAII,60,10,755,123,10,0.8246881895086041,0.07561082262074414,2.222099887009991,3.3704295181900803,-0.18270457068658058,0.03735214243996003,0.27774541848993606,0.3419089830320856,1.21474588
NASDAQ100,window_006,NSGAII,60,10,753,125,10,0.5153052426068654,0.028006632032706924,2.073843824344678,3.595171732176651,-0.08398811125782764,0.023784983931413237,0.86213990713473,0.2299014117116013,1.24609274
NASDAQ100,window_007,NSGAII,60,10,752,124,10,0.8464235196545051,0.07964831390232112,3.558451136412941,6.257008772861818,-0.0678725222428368,0.019483749362225092,0.25852254218315485,0.352945440834038,1.23153597
NASDAQ100,window_008,NSGAII,60,10,752,126,10,0.3175095051945473,0.026262086513237567,1.101572340290818,1.609380091599996,-0.1372725150645159,0.040699402876290744,0.2541000790046673,0.1487768547578159,1.22997067
NASDAQ100,window_009,NSGAII,59,10,752,122,10,0.5508225619162117,0.034499172705229,1.356590434051154,1.823670818525703,-0.237965110285347,0.052518523124121065,0.4764006328916663,0.2376082413870388,1.26050811
NASDAQ100,window_010,NSGAII,60,10,750,126,10,-0.12302780674546984,0.04415584299790802,-0.577416226011547,-0.7683243415263639,-0.1401651216644523,0.029378376797035095,0.45960305915107413,-0.06280275961463333,1.19932064
NASDAQ100,window_011,NSGAII,60,10,751,123,10,0.25035962758469976,0.11691649916795556,0.8679316309174853,1.3770572399408756,-0.1519286535087243,0.0420619944083077,0.6075073541137975,0.11511870888831521,1.2095820400000001
NASDAQ100,window_001,SPEA2,60,10,755,124,10,0.5768147373782002,0.03479690587760016,1.345402799497911,2.131974801525285,-0.2734222839139548,0.04900874671534052,1.0,0.25211350560663803,3.6894705799999996
NASDAQ100,window_002,SPEA2,59,10,755,126,10,0.5098796080923942,0.04069174647166083,1.6904455094326898,2.677937002495725,-0.1750464496906525,0.033823365753702414,0.3720868786722983,0.22967070229666037,3.8051168300000002
NASDAQ100,window_003,SPEA2,60,10,756,124,10,-0.7250357816323858,0.016656842314081877,-2.0471165073798128,-3.6465391884608542,-0.4800102403600646,0.07051836533278423,0.46728347696916617,-0.46944160077426933,3.5399945
NASDAQ100,window_004,SPEA2,60,10,756,125,10,-0.2610020933785353,0.023714373401009986,-0.5669569502704005,-0.9545926187943529,-0.3362588208962613,0.048606225681018404,0.8292264292640436,-0.1384154181748888,3.66447827
NASDAQ100,window_005,SPEA2,60,10,755,123,10,0.8168966132690396,0.06147119715277667,2.249629693745602,3.402121677140323,-0.1761401044591971,0.03665531392364724,0.28782845111815186,0.33920617821325705,4.0863439800000005
NASDAQ100,window_006,SPEA2,60,10,753,125,10,0.5062538683447,0.04059812873878293,2.095818147117658,3.6326712196456796,-0.07977662031377927,0.023092828431627094,0.8534981053923637,0.2262027976120456,4.04082054
NASDAQ100,window_007,SPEA2,60,10,752,124,10,0.7835195229793859,0.07408424507690288,3.3391399885537245,5.9129379787206116,-0.06684636187490431,0.019712391865280992,0.28013119518370405,0.3301082089291832,3.85498442
NASDAQ100,window_008,SPEA2,60,10,752,126,10,0.3054410936569534,0.028705742263471945,1.0782571038058133,1.5685737382324831,-0.1370824564579096,0.04030699596316166,0.24805249986703296,0.1434962472508728,3.9808971
NASDAQ100,window_009,SPEA2,59,10,752,122,10,0.5279905140263991,0.04117578387252579,1.336154116690252,1.7965922007486128,-0.23347758948010872,0.05118463127734568,0.4712683645830384,0.22872753807839108,4.13352813
NASDAQ100,window_010,SPEA2,60,10,750,126,10,-0.1278771984967068,0.04013481410114666,-0.5903256125093433,-0.783740450893369,-0.14506615754755842,0.029765214222655496,0.41937311025538654,-0.06534992682962423,3.91832886
NASDAQ100,window_011,SPEA2,60,10,751,123,10,0.2509668475022975,0.04504985797908842,0.8881449454144802,1.405175653224815,-0.1501143443986349,0.04163263923932764,0.6289020675953129,0.11632861017128696,3.9675223099999997
SP100,window_001,A_MPMO,60,10,755,124,10,0.06501133870248818,0.022603201674043734,0.3618237385681007,0.5551475178342342,-0.2235222550302963,0.04552958382793319,1.0,0.03242675212266955,2.9693083099999997
SP100,window_002,A_MPMO,60,10,755,126,10,0.6212257721505073,0.06115928757773119,2.4657299614992008,4.514514338602774,-0.08507911795434356,0.023536963890755876,0.6010472122488828,0.2740703539884043,2.43150725
SP100,window_003,A_MPMO,60,10,756,124,10,-0.43677096551325717,0.0355936634887918,-1.2214163981593449,-2.0734991165805647,-0.2722841200151047,0.049974501181044635,0.32597937697013435,-0.24541925743755783,2.3913550700000004
SP100,window_004,A_MPMO,60,10,756,125,10,-0.26271273833983877,0.013712920541860504,-0.8917731582330337,-1.457178004140944,-0.2580695554604432,0.03631550305683222,0.3600809868329537,-0.1393398203696971,2.4061644600000003
SP100,window_005,A_MPMO,60,10,755,123,10,0.958761660248775,0.05501071125525279,3.55504387345704,5.92727414771743,-0.093198340958394,0.022790016694362595,0.3181209912460456,0.3892764108604831,2.21165314
SP100,window_006,A_MPMO,60,10,753,125,10,0.23347600489004,0.0329281222325605,1.338983672620868,2.200323707168613,-0.0912075788157521,0.02023409575423874,0.45492649343610514,0.11060622548323322,2.17752467
SP100,window_007,A_MPMO,60,10,752,124,10,1.122676934415269,0.07480218035131168,4.456213573789163,7.930551517245097,-0.0643816963677789,0.018670985004380754,0.3559924456800636,0.44906025471312727,2.23013731
SP100,window_008,A_MPMO,60,10,752,126,10,0.00173965249237268,0.02724396210545028,0.13758826990400563,0.2269558866730447,-0.1457311931800191,0.03156330725241287,0.19957419620529065,0.00178670084846749,2.19135392
SP100,window_009,A_MPMO,60,10,752,122,10,0.38758592615477,0.018426726549019872,1.248355318124704,1.619735059306414,-0.1842374540873688,0.04192166803263854,0.26169862562427976,0.1728263163670381,2.1965453100000003
SP100,window_010,A_MPMO,60,10,750,126,10,0.3128411311942434,0.03675409093648234,1.6016313360379169,2.298018117811016,-0.08679476835340451,0.02428161853073962,0.5848704309353905,0.1466912292726466,2.19610359
SP100,window_011,A_MPMO,60,10,751,123,10,0.1756979566562543,0.020136534040037714,0.8515552312082333,1.4660227246182849,-0.1301238947325857,0.025871575682923236,0.4307397907586347,0.08317263260189059,2.07567427
