analysis,metric,metric_direction,paired_unit,paired_n,primary_method,baseline_method,alternative,zero_method,wins,ties,losses,median_difference,mean_difference,wilcoxon_statistic,raw_p_value,effect_size_paired_win_loss,difference_definition,multiplicity_scope,holm_adjusted_p_value,significant_0_05
real_market_official_20260808_secondary_endpoints,PF_Overlap_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,two-sided,wilcox,10,0,23,-0.040000000000000036,-0.07707070707070704,108.0,0.001472702482715249,-0.3939393939393939,ExperimentC_StabilityAware_ECMADE_MOO - MetaDesigned_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.002945404965430498,True
real_market_official_20260808_secondary_endpoints,PF_Drift_mean,lower is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,two-sided,wilcox,6,0,27,-0.011725735772707503,-0.0175198075610171,62.0,2.757227048277855e-05,-0.6363636363636364,BayesianConfig_ECMADE_MOO - ExperimentC_StabilityAware_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,8.271681144833565e-05,True
real_market_official_20260808_secondary_endpoints,PF_Drift_mean,lower is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,two-sided,wilcox,15,0,18,-0.0017565038944189967,-0.000449776486742769,280.0,1.0,-0.09090909090909091,HandCrafted_ECMADE_MOO - ExperimentC_StabilityAware_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,1.0,False
real_market_official_20260808_secondary_endpoints,PF_Drift_mean,lower is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,two-sided,wilcox,14,0,19,-0.009535142522827902,-0.001615988385877147,276.0,0.9437899661716074,-0.15151515151515152,MetaDesigned_ECMADE_MOO - ExperimentC_StabilityAware_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,1.0,False
real_market_official_20260808_secondary_endpoints,Diversity_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,two-sided,wilcox,16,0,17,-0.002601552737659496,-0.005476662310135368,262.0,0.7509265027474612,-0.030303030303030304,ExperimentC_StabilityAware_ECMADE_MOO - BayesianConfig_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.7509265027474612,False
real_market_official_20260808_secondary_endpoints,Diversity_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,two-sided,wilcox,11,0,22,-0.01864216855965095,-0.025323400164949487,160.0,0.03071066946722567,-0.3333333333333333,ExperimentC_StabilityAware_ECMADE_MOO - HandCrafted_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,0.06142133893445134,False
real_market_official_20260808_secondary_endpoints,Diversity_mean,higher is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,two-sided,wilcox,6,0,27,-0.047297437507704876,-0.0650601966217772,48.0,5.628913640975952e-06,-0.6363636363636364,ExperimentC_StabilityAware_ECMADE_MOO - MetaDesigned_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,1.6886740922927856e-05,True
real_market_official_20260808_secondary_endpoints,Runtime_mean,lower is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,BayesianConfig_ECMADE_MOO,two-sided,wilcox,33,0,0,6.734356149984128,5.95569895423932,0.0,2.3283064365386963e-10,1.0,BayesianConfig_ECMADE_MOO - ExperimentC_StabilityAware_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,6.984919309616089e-10,True
real_market_official_20260808_secondary_endpoints,Runtime_mean,lower is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,HandCrafted_ECMADE_MOO,two-sided,wilcox,31,0,2,0.6819815099926196,0.8631578348458228,8.0,5.820766091346741e-09,0.8787878787878788,HandCrafted_ECMADE_MOO - ExperimentC_StabilityAware_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,5.820766091346741e-09,True
real_market_official_20260808_secondary_endpoints,Runtime_mean,lower is better,33 universe-windows,33,ExperimentC_StabilityAware_ECMADE_MOO,MetaDesigned_ECMADE_MOO,two-sided,wilcox,33,0,0,6.631433540006763,6.6758692918177145,0.0,2.3283064365386963e-10,1.0,MetaDesigned_ECMADE_MOO - ExperimentC_StabilityAware_ECMADE_MOO; positive favors primary,within each secondary endpoint across three primary comparisons,6.984919309616089e-10,True
