"analysis","primary_method","baseline_method","metric","paired_n","alternative","wins","ties","losses","median_difference","mean_difference","wilcoxon_statistic","raw_p_value","effect_size_paired_win_loss","difference_definition","metric_direction","holm_adjusted_p_value","significant_0_05","multiplicity_scope"
"real_market_six_algorithm","ECMADE_MOO","A_MPMO","runtime_sec_mean","33","two-sided","0","0","33","-2.17312939","-2.173756251515151","0.0","2.3283064365386963e-10","-1.0","A_MPMO - ECMADE_MOO; positive favors primary","lower is better","1.1641532182693481e-09","True","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","GDE3","runtime_sec_mean","33","two-sided","0","0","33","-2.9669150600000003","-2.907180662727273","0.0","2.3283064365386963e-10","-1.0","GDE3 - ECMADE_MOO; positive favors primary","lower is better","1.1641532182693481e-09","True","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","MOEAD","runtime_sec_mean","33","two-sided","20","0","13","0.25752175999999993","2.9567400396969696","139.0","0.010411114199087024","0.21212121212121213","MOEAD - ECMADE_MOO; positive favors primary","lower is better","0.010411114199087024","True","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","NSGAII","runtime_sec_mean","33","two-sided","0","0","33","-3.1639934799999994","-3.083012160303031","0.0","2.3283064365386963e-10","-1.0","NSGAII - ECMADE_MOO; positive favors primary","lower is better","1.1641532182693481e-09","True","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","SPEA2","runtime_sec_mean","33","two-sided","5","0","28","-0.4110987900000005","-0.3444042390909091","41.0","2.304092049598694e-06","-0.696969696969697","SPEA2 - ECMADE_MOO; positive favors primary","lower is better","4.608184099197388e-06","True","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","A_MPMO","net_return_mean","33","two-sided","13","0","20","-0.0069496201409743885","-0.002530756352630943","235.0","0.42636040854267776","-0.21212121212121213","ECMADE_MOO - A_MPMO; positive favors primary","higher is better","0.8527208170853555","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","GDE3","net_return_mean","33","two-sided","13","0","20","-0.007294751324264298","-0.0032412105886836804","216.0","0.25653275568038225","-0.21212121212121213","ECMADE_MOO - GDE3; positive favors primary","higher is better","0.7695982670411468","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","MOEAD","net_return_mean","33","two-sided","13","0","20","-0.005618934884083798","-0.007141198939812401","202.0","0.16549804504029453","-0.21212121212121213","ECMADE_MOO - MOEAD; positive favors primary","higher is better","0.697761254850775","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","NSGAII","net_return_mean","33","two-sided","13","0","20","-0.006210337878444883","-0.004620830889462433","197.0","0.139552250970155","-0.21212121212121213","ECMADE_MOO - NSGAII; positive favors primary","higher is better","0.697761254850775","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","SPEA2","net_return_mean","33","two-sided","14","0","19","-0.004354636744837992","-0.0004871330292581425","248.0","0.5721765686757863","-0.15151515151515152","ECMADE_MOO - SPEA2; positive favors primary","higher is better","0.8527208170853555","False","within analysis and metric across primary comparisons"
