universe,window_id,method,assets,K,train_days,test_days,annual_net_return_mean,annual_net_return_std,annual_volatility_mean,annual_volatility_std,sharpe_mean,sharpe_std,sortino_mean,sortino_std,max_drawdown_mean,max_drawdown_std,cvar95_loss_mean,cvar95_loss_std,rebalance_turnover_mean,rebalance_turnover_std,selected_holdings_mean,selected_holdings_std,average_pf_holdings_mean,average_pf_holdings_std,PF_Size_mean,PF_Size_std,HV_mean,HV_std,IGD_mean,IGD_std,PF_Overlap_mean,PF_Overlap_std,PF_Drift_mean,PF_Drift_std,Diversity_mean,Diversity_std,Runtime_mean,Runtime_std,runs
SP100,window_011,MetaDesigned_ECMADE_MOO,60,10,751,123,0.18718756811417142,0.044084962564484964,0.21420565152760998,0.00735605515214169,0.914601118105504,0.17513297885643903,1.6013166277874373,0.3236554134208394,-0.12723103001093114,0.009736839747248024,0.024925523348417078,0.0010324077056552614,0.5186456212369357,0.0585839875515084,9.4,1.0749676997731399,9.140489769127498,0.586529881726652,170.4,24.833668901535898,0.965408013693106,0.007857978268002134,0.012552874402250133,0.004066368455889505,0.8775000000000001,0.06972720212405906,0.04590597710198503,0.0,1.3212879037881675,0.05588525859357228,9.67260539997369,0.20748797414939876,10
TAIWAN50,window_001,BayesianConfig_ECMADE_MOO,49,10,730,115,1.1167304731439838,0.25270018187180465,0.2880267064107332,0.01708831009819384,2.7252679748677897,0.31435509379557813,5.007806223514619,0.5831744685346707,-0.14117545875130635,0.006858915887614858,0.03184681027690969,0.001622423910810134,1.0,0.0,9.7,0.48304589153964794,9.328221147954228,0.24923396988172833,266.3,17.262998323324712,1.06950104061629,0.008565665594968682,0.023760939768598797,0.010839893507512036,0.8933333333333333,0.021801574300387344,0.02926461146436788,0.0,1.119312314001925,0.13592738343887173,10.56023395002121,0.38851027002089267,10
TAIWAN50,window_002,BayesianConfig_ECMADE_MOO,49,10,729,126,0.02797152034221176,0.0259723054512883,0.34065757405648833,0.014915886847284818,0.258078527057831,0.07284979614732016,0.388092873714998,0.11125635011466521,-0.26631517662459747,0.014920280920114578,0.04485780978421824,0.0019931842499515593,0.5888079700874231,0.050327668953800066,9.7,0.4830458915396482,9.587724006105729,0.1449369699229921,305.0,20.154955277107973,0.9897450321543839,0.004238063869996367,0.0067004970003546205,0.0006698611161092028,0.9733333333333334,0.012297746456210368,0.013748465332788479,0.0,1.1714526848951914,0.021724297118965254,10.570251979993191,0.276193135608709,10
TAIWAN50,window_003,BayesianConfig_ECMADE_MOO,49,10,728,117,-0.5138713559444054,0.02394496166862981,0.2652413906689008,0.014449054924781487,-2.573762623988838,0.07221589351323565,-3.7852216107474184,0.12241129994090752,-0.2896029502388506,0.01581859367343327,0.03912521011580846,0.0021403654085044937,0.5821090772332267,0.03035822900713589,10.0,0.0,9.4585370843593,0.34547239747789726,301.2,33.192368600829525,1.0444294789496014,0.02316425812841055,0.021241772110363297,0.011275347017211317,0.8933333333333333,0.04440970864824743,0.031688255011085756,0.0,1.0738999331565107,0.08232515288293236,10.485544089996257,0.22288722939191,10
TAIWAN50,window_004,BayesianConfig_ECMADE_MOO,49,10,730,127,-0.05207579812723244,0.016630194168814002,0.17614790691271115,0.012052006380001836,-0.20965771081882636,0.11803384673409584,-0.3243967148695793,0.18348783669189037,-0.18451015232796084,0.006479318813379288,0.02438894138363814,0.001988395308207918,0.43569132846272973,0.05699310872812467,9.5,0.9718253158075503,9.498836364450103,0.16370121272193527,296.2,22.00908903157967,1.047889486628695,0.017671446055435545,0.047150342870780695,0.01568798093882437,0.8333333333333334,0.028867513459481253,0.029114143087230406,0.0,1.0300447208816519,0.07627904890076395,10.437538819981274,0.21758773337091597,10
TAIWAN50,window_005,BayesianConfig_ECMADE_MOO,49,10,733,112,0.8325056822287525,0.14923605153100267,0.1547328635378688,0.017911464078662277,3.9891912218529852,0.18699218850321644,7.30035548339804,0.36361211732988213,-0.04491161605873134,0.007029485910756281,0.016824733602460465,0.001713858678642475,0.30761961276358163,0.07639950259282849,9.5,0.52704627669473,9.39610725935492,0.26330207405863987,320.6,22.57432169523594,1.0093425087240806,0.0127015968184614,0.02319892280479168,0.01459591335941014,0.9,0.050154083570188274,0.03884211283693768,0.0,1.1688415079877243,0.15768549238125704,9.831159549986477,1.8155423601219183,10
TAIWAN50,window_006,BayesianConfig_ECMADE_MOO,49,10,729,125,0.363308541929056,0.03401481440668635,0.27400105036212175,0.018483077994799264,1.275070469777797,0.07072041427229206,1.8020249227982306,0.10230078108992227,-0.1818495475951472,0.011596752799489159,0.03903345777933201,0.0028463033812700256,0.7294923612516964,0.06585900158513884,9.9,0.316227766016838,9.357386914648128,0.2629690688105563,283.4,40.008887901453996,1.0277801353403553,0.01761293453182933,0.0322765501772926,0.015857747066498,0.8825,0.0462230902696269,0.03236382293322247,0.0,1.076192061791487,0.16695555032454634,9.981753909995314,1.2069273515210595,10
TAIWAN50,window_007,BayesianConfig_ECMADE_MOO,49,10,727,117,0.53277428607696,0.11549716937766356,0.14321634385037002,0.008813281486252935,3.0420829431602403,0.43628877908077796,5.112817806239542,0.9050940484722844,-0.05291832378799623,0.006744408851420996,0.017027794142957464,0.0012145678333368175,0.5772492756248757,0.0760952728382055,9.6,0.6992058987801009,9.233725262800714,0.4650931661829296,290.2,24.710771380558356,1.0571841043125603,0.015595672058364601,0.02417508579342694,0.018469458592006206,0.8808333333333334,0.06187028445680068,0.05370005238942797,0.0,1.1583444389291113,0.16081293774471145,9.762998209998477,1.8803805346741727,10
TAIWAN50,window_008,BayesianConfig_ECMADE_MOO,49,10,729,123,-0.01633839316008724,0.022277033769576942,0.19927316894746722,0.014031922193519506,0.02738067468829562,0.10928544329341366,0.035053371647712314,0.1353646718263878,-0.12499227837940023,0.011679219401014037,0.031162685670893937,0.0025403569070892346,0.33103441316712867,0.049106496728472226,9.7,0.4830458915396482,9.154595987511959,0.41361975496096487,323.7,23.242920068987317,0.9416617939035138,0.0031744830127542153,0.006606451056660458,0.0019360756582052884,0.9566666666666667,0.02108185106778922,0.019901557197404312,0.0,1.330753951257464,0.04013862828923309,10.81117453998886,0.2357603036100198,10
TAIWAN50,window_009,BayesianConfig_ECMADE_MOO,49,10,726,116,0.20669784282083112,0.023060370380023437,0.2757846950465548,0.016816311550938687,0.8284561709015676,0.07981147268484691,1.0253026683392084,0.09759060319120512,-0.2278060438931313,0.016249237967613153,0.04447759116743053,0.003173136597450683,0.38237639022961256,0.07663811598772083,10.0,0.0,9.194296445608671,0.16293043438816965,312.0,28.268553396152253,0.94430198394549,0.005169562829332599,0.00869248426420184,0.00489952684848036,0.95,0.04082482904638629,0.025661859653479686,0.0,1.3022434453355791,0.08139991355893876,10.84880379998358,0.41989180052864056,10
