universe,window_id,method,run,assets,K,train_days,test_days,gross_return,net_return,annual_return,annual_net_return,annual_volatility,sharpe,sortino,max_drawdown,turnover,transaction_cost,Runtime,cvar95_loss,mdd_from_daily_returns,selected_holdings,average_pf_holdings,median_pf_holdings,PF_Size,run_dir,initial_turnover,rebalance_turnover,HV,IGD,PF_Overlap,Diversity,PF_Drift
TAIWAN50,window_007,ExperimentC_StabilityAware_ECMADE_MOO,3,49,10,727,117,0.203072332127677,0.202072332127677,0.4891417971026583,0.4864770825719202,0.1548176487327672,2.6513394570077526,4.475927677423232,-0.0517611678267098,1.0,0.001,10.933975499938242,0.01848096880160768,-0.05176116782670981,9,9.562770562770563,10.0,231,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_007\ExperimentC_StabilityAware_ECMADE_MOO\run_003,1.0,0.5897088310214557,1.044743342789223,0.04323741241798077,0.8666666666666667,1.0176679073568955,0.03415927874869597
TAIWAN50,window_008,ExperimentC_StabilityAware_ECMADE_MOO,3,49,10,729,123,-0.0067389017677162,-0.0077389017677162,-0.0137577460903698,-0.0157909749549164,0.2009889018926874,0.032325489512143,0.0399280020590397,-0.1299157189287487,1.0,0.001,10.696371299913151,0.03154451237453433,-0.12991571892874876,10,9.513307984790874,10.0,263,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_008\ExperimentC_StabilityAware_ECMADE_MOO\run_003,1.0,0.5014185468698014,0.9351601086516511,0.009590882221388578,0.9166666666666666,1.310308476354585,0.04127882688080756
TAIWAN50,window_009,ExperimentC_StabilityAware_ECMADE_MOO,3,49,10,726,116,0.0885475858736279,0.0875475858736279,0.2023968815797396,0.1999985509940365,0.2668005522330995,0.8248654119335547,1.0243351298326289,-0.2170581890776844,1.0,0.001,10.8635722999461,0.04268967833561494,-0.21705818907768415,10,9.7,10.0,340,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_009\ExperimentC_StabilityAware_ECMADE_MOO\run_003,1.0,0.5848905880678295,0.9463187198840882,0.005638627338372363,0.975,1.3552140965214012,0.034585349925284434
TAIWAN50,window_010,ExperimentC_StabilityAware_ECMADE_MOO,3,49,10,725,124,0.395705636157593,0.394705636157593,0.9690576579376656,0.9661916141122576,0.1772356973209683,3.9166226863189832,6.108471744982918,-0.0515905147285978,1.0,0.001,11.122595200082287,0.021963854435264114,-0.05159051472859788,10,9.955357142857142,10.0,336,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_010\ExperimentC_StabilityAware_ECMADE_MOO\run_003,1.0,0.5777421643315285,0.9200828718869118,0.02915085237006637,0.8416666666666667,1.0545186127283996,0.03680894382870094
TAIWAN50,window_011,ExperimentC_StabilityAware_ECMADE_MOO,3,49,10,722,116,0.4362616276930056,0.4352616276930056,1.1957169245680546,1.1923971540946687,0.2040380222716949,3.962567832584568,6.270908074614471,-0.048325827449533,1.0,0.001,12.587976000038909,0.025808756477578767,-0.048325827449533065,10,9.571022727272727,10.0,352,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_011\ExperimentC_StabilityAware_ECMADE_MOO\run_003,1.0,0.5134534786216486,0.9906166312218935,0.005156996859470487,0.9916666666666667,1.3690503159418785,0.03279584309673505
TAIWAN50,window_001,ExperimentC_StabilityAware_ECMADE_MOO,4,49,10,730,115,0.4475763875684997,0.4465763875684997,1.2491291607488757,1.2457258870849626,0.2855916681680209,2.984334810490126,5.3911717088108,-0.1391770165500181,1.0,0.001,10.994982100091876,0.03146236909362381,-0.13917701655001813,9,7.746113989637306,9.0,386,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_001\ExperimentC_StabilityAware_ECMADE_MOO\run_004,1.0,1.0,1.0830010356079194,0.004673426455443819,0.9833333333333333,1.3842108499913524,0.054698251853694715
TAIWAN50,window_002,ExperimentC_StabilityAware_ECMADE_MOO,4,49,10,729,126,0.0185353525136404,0.0175353525136404,0.0374142643200858,0.0353781936150587,0.3512128000369057,0.2807150744512678,0.4263696383206273,-0.2678695022496379,1.0000000000000002,0.001,11.666203500004483,0.045712134434743104,-0.2678695022496378,10,9.095679012345679,10.0,324,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_002\ExperimentC_StabilityAware_ECMADE_MOO\run_004,1.0000000000000002,0.6069948881143769,0.9995632352947756,0.005483877395929507,0.9916666666666667,1.212219761328359,0.014535912942586379
TAIWAN50,window_003,ExperimentC_StabilityAware_ECMADE_MOO,4,49,10,728,117,-0.2604048496421856,-0.2614048496421856,-0.4778042309932195,-0.47932378133228,0.2462424518434072,-2.511432067955288,-3.731846469801293,-0.2662709285699014,1.0,0.001,11.25402349990327,0.036308570576926706,-0.2662709285699014,10,9.31686046511628,10.0,344,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_003\ExperimentC_StabilityAware_ECMADE_MOO\run_004,1.0,0.6390955292327782,1.0659621788387865,0.009652817982920428,0.9416666666666667,1.177722904306775,0.047208169519628376
TAIWAN50,window_004,ExperimentC_StabilityAware_ECMADE_MOO,4,49,10,730,127,-0.0271314730186141,-0.0281314730186141,-0.0531167561360759,-0.0550470318760635,0.16755203104292,-0.2418134967322907,-0.3753362832830161,-0.1788648583484773,1.0,0.001,11.389648500015028,0.02298291987814658,-0.1788648583484772,10,9.363363363363364,10.0,333,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_004\ExperimentC_StabilityAware_ECMADE_MOO\run_004,1.0,0.44011909905836044,1.0726498773067572,0.01893722864891279,0.9083333333333333,1.1786956075649888,0.04644471593241343
TAIWAN50,window_005,ExperimentC_StabilityAware_ECMADE_MOO,4,49,10,733,112,0.2919902610941478,0.2909902610941478,0.7796446362705629,0.7765468857332549,0.1411407096098481,4.159076317261724,7.800900069135302,-0.0411384816252508,1.0,0.001,11.02790670003742,0.015209740545720702,-0.04113848162525102,10,9.589506172839506,10.0,324,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_005\ExperimentC_StabilityAware_ECMADE_MOO\run_004,1.0,0.2581659298362121,1.021898972485469,0.006408207499071885,0.95,1.311562539137414,0.029463970463331664
