split,instance,K,method,HV,IGD,PF_Overlap,PF_Drift,Diversity,Runtime
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_200,1.0899341886935794,0.017872382648654712,0.7963888888888889,0.026101798103020945,1.0468675045550166,9.206473373333331
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_223,1.0869291198477238,0.021090236905218423,0.7666666666666667,0.027451950691004676,1.0196512161814024,9.095117163333333
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_234,1.0869291198477238,0.021090236905218423,0.7666666666666667,0.027451950691004676,1.0196512161814024,9.032930653333333
Training,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_237,1.0869291198477238,0.021090236905218423,0.7666666666666667,0.027451950691004676,1.0196512161814024,3.9462207433333334
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_011,1.0416669758580304,0.017637957185643514,0.8322222222222222,0.02520745469692742,1.1661795115660853,2.5229270966666664
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_034,1.039172892213458,0.019070821659281936,0.7716666666666667,0.024285249184569316,1.1903782158365763,2.992516296666667
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_037,1.039172892213458,0.019070821659281936,0.7716666666666667,0.024285249184569316,1.1903782158365763,2.9704226666666664
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_045,1.039172892213458,0.019070821659281936,0.7716666666666667,0.024285249184569316,1.1903782158365763,3.559519443333334
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_047,1.039172892213458,0.019070821659281936,0.7716666666666667,0.024285249184569316,1.1903782158365763,4.37328008
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_067,1.041889209150511,0.017744388217667224,0.8294444444444447,0.02639819633862279,1.187854340019469,8.105081546666668
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_076,1.041889209150511,0.017744388217667224,0.8294444444444447,0.02639819633862279,1.187854340019469,3.74863534
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_078,1.041889209150511,0.017744388217667224,0.8294444444444447,0.02639819633862279,1.187854340019469,3.74252455
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_084,1.0435281858042997,0.016007714212725375,0.8025,0.023608984165787866,1.1582686833649143,3.184567043333333
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_086,1.0435281858042997,0.016007714212725375,0.8025,0.023608984165787866,1.1582686833649143,3.150247863333333
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_089,1.0435281858042997,0.016007714212725375,0.8025,0.023608984165787866,1.1582686833649143,4.129840693333333
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_118,1.0450592237781577,0.013463974668322118,0.8411111111111111,0.024789628904641925,1.183943106306345,3.9368338499999997
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_131,1.0450592237781577,0.013463974668322118,0.8411111111111111,0.024789628904641925,1.183943106306345,3.969801663333333
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_132,1.0450592237781577,0.013463974668322118,0.8411111111111111,0.024789628904641925,1.183943106306345,3.905145206666667
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_144,1.0492642895587274,0.013178667835693905,0.8472222222222221,0.026590998740579967,1.1548099080426228,5.285626746666666
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_159,1.0492642895587274,0.013178667835693905,0.8472222222222221,0.026590998740579967,1.1548099080426228,4.697658499999999
