split,instance,K,method,runs,theta_ids,N,maxFE,rng_policy,seed_policy,PF_Drift,HV,IGD,PF_Overlap,Diversity,Runtime,PF_Size,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation
test,syn_n500_k10_pathological_cov_mixed_low_vol_r01_s20260794,50,RandomConfig_ECMADE_MOO,30,theta_19,100.0,10000.0,"rng(run,'mcg16807')",run index,0.09669703526515822,0.9618047575391063,0.0900208362163395,0.13805555555555554,0.796001068241194,4.193602739999999,68.83333333333333,1.0,1.0,1.3083458359617783e-16,6.06921920128419e-16,1.3489209749195648e-16,6.513308411134254e-16
test,syn_n500_k20_cluster_corr_skewed_high_vol_r01_s20260805,100,RandomConfig_ECMADE_MOO,30,theta_22,100.0,10000.0,"rng(run,'mcg16807')",run index,0.07941724214828247,0.8748007008964007,0.07977367323995914,0.26957928802589,0.7756366393065207,3.8538112633333332,72.53333333333333,1.0,1.0,2.0815413259851254e-16,8.54871728961371e-16,2.0690856435597483e-16,9.177843670234638e-16
test,syn_n500_k20_pathological_cov_mixed_low_vol_r01_s20260806,100,RandomConfig_ECMADE_MOO,30,theta_12,100.0,10000.0,"rng(run,'mcg16807')",run index,0.14978355477865082,0.982281320781364,0.19111368413600952,0.05308641975308643,0.26206606403654203,3.2126542666666666,21.4,1.0,1.0,2.0112053336992717e-16,5.44009282066327e-16,1.9880393627621136e-16,8.733754460384573e-16
test,syn_n500_k30_cluster_corr_skewed_high_vol_r01_s20260817,150,RandomConfig_ECMADE_MOO,30,theta_05,100.0,10000.0,"rng(run,'mcg16807')",run index,0.06546926022544186,0.7852323532479579,0.10940777162032254,0.2448888888888889,0.6725920948943378,3.4518940733333334,53.4,1.0,1.0,2.5863417604065585e-16,1.043609643147648e-15,2.5320486448284415e-16,1.1472304587793297e-15
test,syn_n500_k30_pathological_cov_normal_extreme_events_r02_s20260818,150,RandomConfig_ECMADE_MOO,30,theta_04,100.0,10000.0,"rng(run,'mcg16807')",run index,0.12508503993605735,0.9214999220881886,0.17798576179333905,0.05897435897435897,0.33167810491062877,3.22168597,14.7,1.0,1.0,2.603079877569135e-16,7.327471962526037e-16,2.654173177537207e-16,1.1509312021947465e-15
test,syn_n50_k05_high_corr_mixed_high_vol_r02_s20260637,3,RandomConfig_ECMADE_MOO,30,theta_16,100.0,10000.0,"rng(run,'mcg16807')",run index,0.024293249547545415,0.9918446531282151,0.006724079566136461,0.9722222222222222,1.2937164330979896,9.7360579,100.0,1.0,1.0,1.70974345792274e-17,2.2204460492503104e-16,1.70974345792274e-17,2.2204460492503104e-16
test,syn_n50_k05_pathological_cov_mixed_low_vol_r01_s20260638,3,RandomConfig_ECMADE_MOO,30,theta_17,100.0,10000.0,"rng(run,'mcg16807')",run index,0.046668789355916666,1.1074504787256159,0.014668881521896032,0.9238888888888891,1.2313128592440277,11.578524246666666,100.0,1.0,1.0,1.495100339828544e-17,1.9243865760169368e-16,1.495100339828544e-17,1.9243865760169368e-16
test,syn_n50_k10_cluster_corr_skewed_high_vol_r01_s20260649,5,RandomConfig_ECMADE_MOO,30,theta_03,100.0,10000.0,"rng(run,'mcg16807')",run index,0.02636800562435987,1.1107262131070579,0.011774963428924038,0.9308333333333335,1.0209901032798565,7.097062550000001,100.0,1.0,1.0,2.124226720449467e-17,2.1834386150961389e-16,2.124226720449467e-17,2.1834386150961389e-16
test,syn_n50_k10_low_corr_skewed_extreme_events_r02_s20260650,5,RandomConfig_ECMADE_MOO,30,theta_14,100.0,10000.0,"rng(run,'mcg16807')",run index,0.02923497475724622,1.1757134024888225,0.00781251293617944,0.9422222222222222,0.891206182618178,7.164501143333334,100.0,1.0,1.0,2.0169051614023675e-17,2.1834386150961389e-16,2.0169051614023675e-17,2.1834386150961389e-16
test,syn_n50_k20_cluster_corr_skewed_high_vol_r01_s20260662,10,RandomConfig_ECMADE_MOO,30,theta_14,100.0,10000.0,"rng(run,'mcg16807')",run index,0.11249678675538606,1.0435594671414272,0.032367096059397055,0.7324999999999999,1.2128036491404584,4.89932799,99.83333333333333,1.0,1.0,5.1142326241373224e-17,2.7015426932545464e-16,5.110726656691138e-17,2.7015426932545464e-16
