endpoint,direction,method_a,method_b,paired_units,median_oriented_difference,mean_oriented_difference,wins_a,ties,wins_b,wilcoxon_stat,two_sided_p_value,one_sided_greater_p_value,rank_biserial_correlation,vargha_delaney_A_oriented,holm_two_sided_p_value,significant_0_05
RuntimeScore,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.2921638329866352,0.295577459400917,32,0,0,0.0,4.656612873077393e-10,2.3283064365386963e-10,1.0,1.0,4.6566128730773926e-09,True
RuntimeScore,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.4444344412785741,-0.30138835526709995,8,0,24,48.0,1.1194031685590744e-05,0.9999950486235321,-0.8181818181818182,0.2705078125,4.4776126742362976e-05,True
J_stability,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.06297269256078925,-0.1376196958103335,15,0,17,187.0,0.1544793052598834,0.9254712180700153,-0.2916666666666667,0.35546875,0.47780146449804306,False
J_stability,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.08150937581784198,-0.23006712045093658,10,0,22,130.0,0.01113977748900652,0.9947454135399312,-0.5075757575757576,0.25,0.07797844242304564,False
J_stability,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.05201846715567324,-0.0761755742352839,13,0,19,170.0,0.08032503305003047,0.9614759690593928,-0.3560606060606061,0.3994140625,0.40162516525015235,False
J_stability,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.030326533008621814,0.07517069323326007,19,0,13,206.0,0.28651781333610415,0.14325890666805208,0.2196969696969697,0.59375,0.5730356266722083,False
J_performance,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.041337587867232184,-0.1461092187348749,14,0,18,185.0,0.1437781504355371,0.930680378805846,-0.29924242424242425,0.359375,0.7188907521776855,False
J_performance,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.07974984214344563,-0.20315461119430778,11,0,21,145.0,0.025270413141697645,0.9879992036148906,-0.45075757575757575,0.296875,0.17689289199188352,False
J_performance,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.12353318831908539,-0.14535296234755907,8,0,24,104.0,0.00207323394715786,0.9990355214104056,-0.6060606060606061,0.3359375,0.018659105524420738,True
J_performance,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.037664149120458346,0.03841239353814098,15,0,17,242.0,0.691578262951225,0.3457891314756125,0.08333333333333333,0.5517578125,1.0,False
