split,instance,K,method,runs,theta_ids,N,maxFE,rng_policy,seed_policy,PF_Drift,HV,IGD,PF_Overlap,Diversity,Runtime,PF_Size,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation,rank_HV,rank_IGD,rank_PF_Overlap,rank_PF_Drift,rank_Diversity,rank_Runtime,InstanceRankScore,RankBasedCompositeRank,HV_score,IGD_score,PF_Overlap_score,PF_Drift_score,DiversityScore,RuntimeScore,PerformanceScore,StabilityScore,J_stability,J_performance,EqualWeightedScore,PerformanceRank,StabilityWeightedRank,EqualWeightedRank
test,syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,20,RandomConfig_ECMADE_MOO,30,theta_06,100.0,10000.0,"rng(run,'mcg16807')",run index,0.039159580156397214,1.1826997333331042,0.019080698288059698,0.9208333333333333,0.5442418885945682,4.05252204,87.13333333333334,1.0,1.0,1.0800942953277711e-16,4.847973874196518e-16,1.0761761852033181e-16,5.033011044967377e-16,4.0,4.0,4.0,5.0,1.0,5.0,3.8333333333333335,5.0,0.7989952918270745,0.9799551859461549,0.8211678832116777,0.0,1.0,0.0,0.8894752388866147,0.41058394160583883,0.6071315834442812,0.7029098429004363,0.5750147951231134,4.0,4.0,4.0
test,syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,20,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.014738046894630395,1.1765479071913547,0.02536812071436392,0.8583333333333332,0.3601528793639702,1.35384796,92.7,1.0,1.0,1.1038030678914086e-16,5.070018479121549e-16,1.0935696792557794e-16,5.107025913275721e-16,5.0,5.0,5.0,1.0,5.0,1.0,3.6666666666666665,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.325,0.225,0.375,5.0,5.0,5.0
test,syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,20,MetaDesigned_ECMADE_MOO,30,theta_16,100.0,10000.0,"rng(run,'mcg16807')",run index,0.019819251850777552,1.1842473594968645,0.01895209014840119,0.9344444444444445,0.46477484665405855,3.1888767933333333,89.23333333333333,1.0,1.0,1.057472593235299e-16,4.847973874196518e-16,1.051011129978482e-16,4.88498130835069e-16,2.0,2.0,2.0,3.0,3.0,3.0,2.5,2.0,1.0,1.0,1.0,0.7919375126171112,0.5683227245741447,0.3200257686051022,1.0,0.8959687563085557,0.7988530621141892,0.8196593108524781,0.6960793123719505,2.0,2.0,2.0
test,syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,20,ExperimentC_NoReplicate_ECMADE_MOO,30,theta_144,100.0,10000.0,"rng(run,'mcg16807')",run index,0.019819251850777552,1.1842473594968645,0.01895209014840119,0.9344444444444445,0.46477484665405855,2.08304505,89.23333333333333,1.0,1.0,1.057472593235299e-16,4.847973874196518e-16,1.051011129978482e-16,4.88498130835069e-16,2.0,2.0,2.0,3.0,3.0,2.0,2.3333333333333335,1.0,1.0,1.0,1.0,0.7919375126171112,0.5683227245741447,0.7297943106934944,1.0,0.8959687563085557,0.8398299163230284,0.8606361650613173,0.7985214478940487,2.0,1.0,1.0
test,syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722,30,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.15266253996717333,0.9678865197624383,0.07881024747207123,0.5277777777777779,0.914480947490181,3.5813033499999993,87.26666666666667,1.0,1.0,3.549102559498652e-16,1.1361282285330768e-15,3.53532018474804e-16,1.1694349192718315e-15,5.0,5.0,3.0,5.0,5.0,4.0,4.5,5.0,0.0,0.0,0.13392857142857215,0.0,0.0,0.05718679910314672,0.0,0.06696428571428607,0.0358526084817434,0.02245975133888619,0.031037771204358196,5.0,5.0,5.0
test,syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722,30,RandomConfig_ECMADE_MOO,30,theta_20,100.0,10000.0,"rng(run,'mcg16807')",run index,0.15191603460850045,0.9739876747162645,0.07134515720644546,0.5075000000000001,0.9932146113738001,3.7138911833333332,90.7,1.0,1.0,1.1730879292110894e-16,5.625129991434127e-16,1.1642538784902472e-16,5.662137425588299e-16,3.0,4.0,4.0,4.0,3.0,5.0,3.8333333333333335,4.0,0.25999548630868236,0.2162750690598757,0.025297619047619437,0.013283059409246484,0.8285788075549501,0.0,0.23813527768427903,0.01929033922843296,0.2339302335848546,0.2776992212760238,0.2715011061169155,4.0,4.0,4.0
test,syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722,30,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.09646273420907915,0.9899311682766825,0.05053916759376718,0.6794444444444444,0.9606024607756282,1.3953869933333332,90.26666666666667,1.0,1.0,1.2604216280150237e-16,5.88418203051333e-16,1.2641739507065114e-16,6.106226635438362e-16,2.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,0.9394137920346644,0.8190563724636938,0.9464285714285714,1.0,0.48537444589361306,1.0,0.879235082249179,0.9732142857142857,0.854830088312446,0.8360342476194246,0.8344559534642694,2.0,2.0,1.0
test,syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722,30,MetaDesigned_ECMADE_MOO,30,theta_09,100.0,10000.0,"rng(run,'mcg16807')",run index,0.1037993058189325,0.9913529077388145,0.04429360023170412,0.6894444444444444,1.000475978284572,3.0797865333333334,95.13333333333334,1.0,1.0,1.2365943118945816e-16,6.62433071359677e-16,1.231977482992382e-16,6.661338147750942e-16,1.0,1.0,1.0,2.0,2.0,2.0,1.5,1.0,1.0,1.0,1.0,0.869455569981277,0.9049961167384769,0.2734973060367856,1.0,0.9347277849906386,0.8789764571971612,0.8920309001990335,0.7783053019414753,1.0,1.0,2.0
test,syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722,30,ExperimentC_NoReplicate_ECMADE_MOO,30,theta_132,100.0,10000.0,"rng(run,'mcg16807')",run index,0.1419036435083821,0.9717258350158061,0.06742645871732098,0.5027777777777778,1.0095034886965557,3.3548479366666664,85.83333333333333,1.0,1.0,1.2793797761790175e-16,6.180241503746706e-16,1.2971105671037252e-16,6.365278674517565e-16,4.0,3.0,5.0,3.0,1.0,3.0,3.1666666666666665,3.0,0.1636091271154667,0.32980575069982315,0.0,0.19144010043560813,1.0,0.1548598653456248,0.24670743890764493,0.09572005021780407,0.32023686885948555,0.3504343465974537,0.37432183861776847,3.0,3.0,3.0
test,syn_n100_k30_low_corr_normal_low_vol_r01_s20260721,30,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.053265868818414774,0.8384609850188632,0.08372242777020365,0.5847222222222223,0.5901444071052443,3.73865244,78.03333333333333,1.0,1.0,2.1468079536600138e-16,9.02981393361794e-16,2.1908401019269756e-16,9.399888275159659e-16,5.0,5.0,4.0,2.0,5.0,4.0,4.166666666666667,5.0,0.0,0.0,0.13427561837455887,0.849035558623049,0.0,0.15003879747865823,0.0,0.491655588498804,0.23624889457232762,0.13791777687256682,0.16042359649436555,5.0,5.0,5.0
test,syn_n100_k30_low_corr_normal_low_vol_r01_s20260721,30,RandomConfig_ECMADE_MOO,30,theta_10,100.0,10000.0,"rng(run,'mcg16807')",run index,0.0716135807816955,0.9561036516747489,0.04355292781680079,0.7208333333333332,0.8076280208527529,4.15562498,71.26666666666667,1.0,1.0,9.252648069126098e-17,4.440892098500628e-16,9.13343474924962e-17,4.588921835117316e-16,1.0,1.0,1.0,5.0,1.0,5.0,2.3333333333333335,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.675,0.7749999999999999,0.625,1.0,3.0,3.0
test,syn_n100_k30_low_corr_normal_low_vol_r01_s20260721,30,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.057216666474611697,0.9470551445964488,0.046350580060252645,0.6850000000000002,0.7767578209995438,1.37652686,68.33333333333333,1.0,1.0,9.221564200960477e-17,4.218847493575597e-16,9.422092735652166e-17,4.588921835117316e-16,2.5,2.5,2.5,3.5,2.5,1.0,2.4166666666666665,2.0,0.9230848183272852,0.9303538195223449,0.772084805653712,0.6662134333493973,0.8580573528217701,1.0,0.9267193189248151,0.7191491195015547,0.8269084040712573,0.8684224439559094,0.8759814478120349,2.5,1.0,1.0
test,syn_n100_k30_low_corr_normal_low_vol_r01_s20260721,30,MetaDesigned_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.057216666474611697,0.9470551445964488,0.046350580060252645,0.6850000000000002,0.7767578209995438,3.0707646233333334,68.33333333333333,1.0,1.0,9.221564200960477e-17,4.218847493575597e-16,9.422092735652166e-17,4.588921835117316e-16,2.5,2.5,2.5,3.5,2.5,3.0,2.75,3.0,0.9230848183272852,0.9303538195223449,0.772084805653712,0.6662134333493973,0.8580573528217701,0.39036417924915384,0.9267193189248151,0.7191491195015547,0.7659448219961728,0.8074588618808248,0.7235724926243233,2.5,2.0,2.0
test,syn_n100_k30_low_corr_normal_low_vol_r01_s20260721,30,ExperimentC_NoReplicate_ECMADE_MOO,30,theta_223,100.0,10000.0,"rng(run,'mcg16807')",run index,0.05000351772021817,0.8535920882233101,0.07666538511709589,0.5636111111111111,0.6335357463284381,2.2970351733333336,77.36666666666666,1.0,1.0,8.877629930650268e-17,4.107825191113082e-16,8.759659664292484e-17,4.2558549277297694e-16,4.0,4.0,5.0,1.0,4.0,2.0,3.3333333333333335,4.0,0.12861917903226888,0.17568161568588164,0.0,1.0,0.1995154415337689,0.6687744463900636,0.15215039735907526,0.5,0.36981813228552896,0.30024821175734406,0.38011007132072694,4.0,4.0,4.0
