endpoint,direction,method_a,method_b,paired_units,median_oriented_difference,mean_oriented_difference,wins_a,ties,wins_b,wilcoxon_stat,two_sided_p_value,one_sided_greater_p_value,rank_biserial_correlation,vargha_delaney_A_oriented,holm_two_sided_p_value,significant_0_05
PF_Overlap,max,RandomConfig_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,-0.01180555555555568,-0.04715355406726869,13,2,17,145.0,0.07324407435953617,0.9650535443797708,-0.3763440860215054,0.4609375,0.344350915402174,False
PF_Overlap,max,RandomConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.06527777777777777,-0.08199001145493759,9,1,22,80.0,0.0005905693396925926,0.9997294386848807,-0.6774193548387096,0.42333984375,0.004724554717540741,True
PF_Overlap,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.00805555555555551,-0.04586487720828718,12,3,17,133.0,0.0688701830804348,0.9672424159944057,-0.38850574712643676,0.45947265625,0.344350915402174,False
PF_Overlap,max,BayesianConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.010000000000000009,-0.0348364573876689,3,9,20,9.0,7.867813110351562e-06,0.9999970197677612,-0.9347826086956522,0.4521484375,7.867813110351562e-05,True
PF_Overlap,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.017083333333333395,0.0012886768589815151,9,3,20,146.0,0.1260332576930523,0.9396726936101913,-0.32873563218390806,0.49658203125,0.3780997730791569,False
PF_Overlap,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.005972222222222379,0.036125134246650405,18,6,8,89.0,0.02719581127166748,0.01359790563583374,0.4928774928774929,0.5390625,0.19037067890167236,False
PF_Drift,min,HandCrafted_ECMADE_MOO,RandomConfig_ECMADE_MOO,32,0.0015077587523187157,0.007274951705065034,17,8,7,61.0,0.009575724601745605,0.004787862300872803,0.5933333333333334,0.5693359375,0.04787862300872803,True
PF_Drift,min,HandCrafted_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,-0.009675898194803065,-0.013716985370491864,10,0,22,109.0,0.0029474091716110706,0.9986248330678791,-0.5871212121212122,0.4189453125,0.017684455029666424,True
PF_Drift,min,HandCrafted_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.009675898194803065,-0.014324280037283777,6,2,24,66.0,0.00031275488436222076,0.9998583681881428,-0.7161290322580646,0.390625,0.0021892841905355453,True
PF_Drift,min,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.00503006257885402,-0.0071310595233042475,12,2,18,153.0,0.10483990423381329,0.9498013220727444,-0.3419354838709677,0.462890625,0.20967980846762657,False
PF_Drift,min,RandomConfig_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,-0.01863405203381302,-0.020991937075556896,3,2,27,16.0,3.1478703022003174e-07,0.9999998724088073,-0.9311827956989247,0.33203125,3.1478703022003174e-06,True
PF_Drift,min,RandomConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.022597983468937786,-0.02159923174234881,3,1,28,34.0,3.4635886549949646e-06,0.9999985052272677,-0.8629032258064516,0.31591796875,3.117229789495468e-05,True
PF_Drift,min,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.011744941103434901,-0.014406011228369282,5,3,24,40.0,3.1795352697372437e-05,0.999986095353961,-0.8160919540229885,0.38818359375,0.0002543628215789795,True
PF_Drift,min,BayesianConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,0.0,-0.0006072946667919107,9,9,14,106.0,0.3446848392486572,0.8352973461151123,-0.2318840579710145,0.47119140625,0.3446848392486572,False
PF_Drift,min,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.005945851018946208,0.006585925847187618,22,2,8,127.0,0.029325857758522034,0.014662928879261017,0.45376344086021503,0.5556640625,0.0879775732755661,False
PF_Drift,min,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.003849012951609391,0.00719322051397953,21,6,5,78.0,0.011966735124588013,0.005983367562294006,0.5555555555555556,0.57421875,0.04787862300872803,True
Diversity,max,HandCrafted_ECMADE_MOO,RandomConfig_ECMADE_MOO,32,-0.018566830086526376,-0.03670525523846769,7,8,17,52.0,0.0039006471633911133,0.9982478618621826,-0.6533333333333333,0.4697265625,0.027304530143737793,True
Diversity,max,HandCrafted_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,0.01704901598941294,0.03034441125319806,21,0,11,163.0,0.059545967262238264,0.029772983631119132,0.38257575757575757,0.5234375,0.3572758035734296,False
Diversity,max,HandCrafted_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,0.0,-0.01988240118463875,15,2,15,218.0,0.7765688337385654,0.619467263109982,-0.06236559139784946,0.486328125,1.0,False
Diversity,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.005390542357181664,-0.038702307057114,13,2,17,162.0,0.15188691951334476,0.9270002543926239,-0.3032258064516129,0.4619140625,0.6133471429347992,False
Diversity,max,RandomConfig_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,0.03175658876064491,0.06704966649166574,24,2,6,81.0,0.0012321043759584427,0.0006160521879792213,0.6516129032258065,0.552734375,0.009856835007667542,True
Diversity,max,RandomConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,0.026439648282257977,0.016822854053828936,18,1,13,186.0,0.23169402685016394,0.11584701342508197,0.25,0.51220703125,0.6950820805504918,False
Diversity,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.00010556741054479346,-0.001997051818646317,16,3,13,208.0,0.8480112254619598,0.4240056127309799,0.04367816091954023,0.48583984375,1.0,False
Diversity,max,BayesianConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.031289000098055686,-0.05022681243783681,2,9,21,5.0,2.384185791015625e-06,0.9999991655349731,-0.9637681159420289,0.45361328125,2.1457672119140625e-05,True
Diversity,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.041841942943616095,-0.06904671831031206,2,2,28,17.0,3.855675458908081e-07,0.9999998426064849,-0.9268817204301075,0.4384765625,3.855675458908081e-06,True
Diversity,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.0034880553918996693,-0.018819905872475253,9,6,17,114.0,0.12266942858695984,0.9417588859796524,-0.3504273504273504,0.4853515625,0.6133471429347992,False
Runtime,min,HandCrafted_ECMADE_MOO,RandomConfig_ECMADE_MOO,32,2.2952735100000003,2.171224230104167,32,0,0,0.0,4.656612873077393e-10,2.3283064365386963e-10,1.0,0.92578125,4.6566128730773926e-09,True
Runtime,min,HandCrafted_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,-0.8164502149999998,-1.0491173347916667,0,0,32,0.0,4.656612873077393e-10,1.0,-1.0,0.134765625,4.6566128730773926e-09,True
Runtime,min,HandCrafted_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,1.2670154233333337,0.6076817663541667,21,0,11,128.0,0.0099095250479877,0.00495476252399385,0.5151515151515151,0.697265625,0.0198190500959754,True
Runtime,min,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.09523948999999976,-0.12876895031249988,20,0,12,212.0,0.34029899863526225,0.17014949931763113,0.19696969696969696,0.5078125,0.34029899863526225,False
Runtime,min,RandomConfig_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,-2.8630825583333337,-3.2203415648958336,0,0,32,0.0,4.656612873077393e-10,1.0,-1.0,0.0,4.6566128730773926e-09,True
Runtime,min,RandomConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.7883915966666672,-1.5635424637500002,6,0,26,86.0,0.0005131973884999752,0.9997640924993902,-0.6742424242424242,0.22265625,0.002052789553999901,True
Runtime,min,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-2.0709273133333337,-2.299993180416667,2,0,30,3.0,2.3283064365386963e-09,0.9999999993015081,-0.9886363636363636,0.0390625,1.1641532182693481e-08,True
Runtime,min,BayesianConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,1.8583755800000001,1.6567991011458334,32,0,0,0.0,4.656612873077393e-10,2.3283064365386963e-10,1.0,0.8916015625,4.6566128730773926e-09,True
Runtime,min,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.8698780516666667,0.9203483844791667,32,0,0,0.0,4.656612873077393e-10,2.3283064365386963e-10,1.0,0.8984375,4.6566128730773926e-09,True
