metric,direction,method_a,method_b,instances,median_oriented_difference,mean_oriented_difference,wilcoxon_stat,p_value,signed_rank_effect,holm_p_value,significant_0_05,wins_a,ties,wins_b
PF_Overlap,max,NSGAII,GDE3,18,0.0796435272045028,0.0948615444833796,0.0,0.0001220703125,1.0,0.00634765625,True,14,4,0
PF_Overlap,max,NSGAII,A_MPMO,18,0.0427155172413793,0.0579722361502695,0.0,0.0001220703125,1.0,0.00634765625,True,14,4,0
PF_Overlap,max,NSGAII,RandomConfig_ECMADE_MOO,18,0.0222906403940886,0.0329306275517,29.0,0.153076171875,0.4476190476190476,1.0,False,10,4,4
PF_Overlap,max,NSGAII,MetaTransfer_ECMADE_MOO,18,0.0332101806239737,0.0548778173115685,16.0,0.020263671875,0.6952380952380952,0.506591796875,False,11,4,3
PF_Overlap,max,NSGAII,BayesianConfig_ECMADE_MOO,18,-0.1101766190075693,-0.1296682692028443,18.0,0.0019302368164062,-0.7894736842105263,0.061767578125,False,4,0,14
PF_Overlap,max,NSGAII,ExperimentC_StabilityAware_ECMADE_MOO,18,0.0585764809902741,0.0834558237617621,0.0,0.0001220703125,1.0,0.00634765625,True,14,4,0
PF_Overlap,max,NSGAII,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.0570380194518125,0.0824936213748725,0.0,0.0001220703125,1.0,0.00634765625,True,14,4,0
PF_Overlap,max,NSGAII,ExperimentC_GlobalTheta037_ECMADE_MOO,18,0.0570380194518125,0.0820636973225455,0.0,0.0001220703125,1.0,0.00634765625,True,14,4,0
PF_Overlap,max,NSGAII,ECMADE_MOO,18,-0.0971684889262685,-0.1301610103966997,22.0,0.0040054321289062,-0.7426900584795322,0.11328125,False,4,0,14
PF_Overlap,max,SPEA2,MOEAD,18,0.0400335775335775,0.0641766482971161,3.0,0.0006103515625,0.9428571428571428,0.020751953125,True,13,4,1
PF_Overlap,max,SPEA2,GDE3,18,0.0456807081807081,0.0836347966853965,0.0,0.0001220703125,1.0,0.00634765625,True,14,4,0
PF_Overlap,max,SPEA2,A_MPMO,18,0.0297771672771672,0.0467454883522864,1.0,0.000244140625,0.9809523809523808,0.009765625,True,13,4,1
PF_Overlap,max,SPEA2,RandomConfig_ECMADE_MOO,18,0.0074786324786325,0.0217038797537169,25.0,0.090576171875,0.5238095238095238,1.0,False,10,4,4
PF_Overlap,max,SPEA2,MetaTransfer_ECMADE_MOO,18,0.0123789173789173,0.0436510695135854,0.0,0.0001220703125,1.0,0.00634765625,True,14,4,0
PF_Overlap,max,SPEA2,BayesianConfig_ECMADE_MOO,18,-0.1002523128679562,-0.1408950170008274,10.0,0.0003280639648437,-0.8830409356725146,0.0121383666992187,True,2,0,16
PF_Overlap,max,SPEA2,ExperimentC_StabilityAware_ECMADE_MOO,18,0.0362564102564102,0.072229075963779,0.0,0.0001220703125,1.0,0.00634765625,True,14,4,0
PF_Overlap,max,SPEA2,ExperimentC_GlobalTheta034_ECMADE_MOO,18,0.0381410256410256,0.0712668735768894,0.0,0.0001220703125,1.0,0.00634765625,True,14,4,0
