split,instance,K,method,run,PF_Size,Runtime,HV,IGD,PF_Overlap,Diversity
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,24,100,3.156112,0.9108784294961456,0.03640877518099099,0.5083333333333333,1.1195085031185574
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,25,100,3.0377174,0.9490506897862775,0.015086349650844695,0.875,1.2909884190536725
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,26,100,2.8522357,0.9451125449000184,0.016768067321639307,0.6916666666666667,1.3245166356306264
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,27,100,3.3066254,0.9542625038462045,0.01301613804806443,0.9083333333333333,1.326329516059269
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,28,100,3.0003089,0.9254231145007341,0.032017099100388254,0.825,1.105201319669025
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,29,100,3.5003096,0.9151814190031284,0.03268363792459747,0.39166666666666666,1.166048118350284
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_234,30,100,3.0532985,0.9419480774996336,0.01848825038371415,0.5916666666666667,1.2925171882464233
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,1,100,7.1587242,0.9361378391281362,0.021686670637701223,0.6083333333333333,1.2250785276103662
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,2,100,7.4289896,0.9384946625580882,0.021174033909832732,0.5416666666666666,1.2266962906829466
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,3,100,7.3438556,0.9531668013089276,0.012845596978889647,0.925,1.3552141075295485
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,4,100,7.1383827,0.9521806038028144,0.014287084482217839,0.85,1.2888544657821248
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,5,100,7.1829828,0.9535352930651443,0.012269413609368873,0.9083333333333333,1.311634497076172
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,6,100,7.1203542,0.9398760736082519,0.019984555406353625,0.4583333333333333,1.343562822360268
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,7,100,7.3921091,0.9337849406398464,0.02456444143123348,0.525,1.2086478119386386
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,8,100,7.5561468,0.9481897400821995,0.015574584305189675,0.7166666666666667,1.3323380630064803
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,9,100,7.7036369,0.9424470358926106,0.01854231235939589,0.5916666666666667,1.2762989655315877
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,10,100,7.4136653,0.9495377206577009,0.01493646307906867,0.7833333333333333,1.300892001028856
